open_ports_count,has_control_port,has_telemetry_port,has_video_port,has_mavlink,has_unknown_protocol,wifi_security_level,ping_loss,avg_latency_ms,diag_success,label
0,0,0,0,0,1,2,32.0,218.1,1,Suspicious
3,0,1,1,1,0,2,1.0,49.1,1,Suspicious
0,0,0,0,0,1,2,7.1,52.8,1,Normal
1,0,1,0,0,0,1,21.8,158.8,1,Suspicious
1,0,1,0,0,0,2,2.6,21.6,1,Normal
3,1,1,0,1,0,2,0.1,28.5,1,Suspicious
3,1,1,0,1,0,2,30.7,249.0,1,Attack
3,1,1,1,1,0,2,22.5,80.1,1,Suspicious
2,0,1,0,0,1,1,1.1,63.0,1,Normal
2,0,1,1,0,0,1,2.3,41.5,1,Suspicious
1,0,0,1,0,0,1,3.7,55.1,1,Normal
3,1,1,0,0,1,1,7.4,33.6,1,Suspicious
1,0,1,0,1,0,2,4.2,77.4,1,Normal
3,1,1,0,1,0,2,0.0,31.0,1,Suspicious
1,0,0,1,1,0,1,27.1,108.4,1,Suspicious
1,0,0,1,0,0,1,5.1,53.4,1,Normal
3,1,1,0,0,0,0,5.1,52.3,1,Suspicious
2,0,1,1,0,1,0,6.3,70.5,1,Suspicious
0,0,0,0,0,1,2,5.2,60.8,1,Normal
3,0,1,1,0,0,2,38.6,789.9,0,Suspicious
3,1,1,0,1,0,0,38.0,475.1,1,Attack
3,1,1,1,0,0,2,2.0,42.0,1,Suspicious
1,0,1,0,0,0,1,2.5,66.6,1,Normal
4,1,1,0,0,0,2,0.0,70.3,1,Normal
1,1,0,0,0,0,2,6.0,25.3,1,Normal
2,1,1,0,1,0,1,2.7,34.1,1,Attack
3,0,1,1,0,0,2,0.8,32.7,1,Normal
3,1,1,0,0,1,2,17.7,186.0,1,Suspicious
2,0,1,0,0,0,1,0.7,57.7,1,Normal
1,0,1,0,0,0,2,4.0,62.9,1,Normal
3,1,1,1,1,0,0,4.7,32.1,1,Attack
1,0,1,0,1,0,1,1.3,49.5,1,Suspicious
1,0,1,0,0,0,1,4.2,33.2,1,Normal
1,0,1,0,0,1,2,2.4,32.4,1,Normal
4,1,1,0,1,0,2,1.3,22.6,1,Suspicious
2,0,1,0,0,0,1,6.9,23.1,1,Normal
3,1,0,1,1,0,2,0.6,62.4,1,Suspicious
2,1,1,0,0,0,2,47.9,502.8,0,Attack
3,1,1,0,1,0,2,5.7,33.3,1,Suspicious
2,0,1,1,0,0,2,20.3,138.5,1,Normal
1,0,0,1,0,0,2,5.3,26.8,1,Normal
2,0,1,0,1,1,1,7.0,34.2,1,Suspicious
4,1,1,0,0,0,2,5.3,57.7,1,Normal
2,1,1,0,1,1,2,4.4,28.6,1,Suspicious
1,0,1,0,1,0,2,7.0,23.4,1,Normal
3,1,1,1,0,1,2,8.8,90.0,1,Suspicious
1,0,0,1,0,0,2,5.7,61.7,1,Normal
3,1,1,1,1,0,0,5.6,35.8,1,Attack
3,1,1,1,0,0,0,2.1,28.7,1,Attack
2,1,1,0,1,0,1,6.3,42.3,1,Attack
4,1,1,0,1,0,0,16.5,86.0,1,Attack
3,1,0,1,1,0,2,2.1,59.3,1,Suspicious
1,0,1,0,0,0,2,6.0,27.1,1,Normal
3,1,1,0,0,0,1,12.5,90.0,1,Suspicious
1,0,0,1,0,0,2,3.2,53.0,1,Normal
3,0,1,1,0,0,1,4.0,43.4,1,Suspicious
2,0,1,0,0,0,2,5.1,39.3,1,Normal
2,1,0,0,0,1,2,0.5,28.6,1,Normal
4,1,1,0,1,0,1,0.5,74.1,1,Attack
3,1,1,0,1,0,1,0.1,77.1,1,Attack
5,1,1,1,0,1,2,2.9,43.3,1,Suspicious
0,0,0,0,0,1,2,0.2,71.6,1,Normal
2,0,1,1,0,0,0,71.3,290.7,0,Attack
4,1,1,1,0,0,0,7.6,33.8,1,Attack
3,1,1,1,0,0,0,7.0,48.7,1,Attack
3,1,1,0,1,0,1,1.3,45.1,1,Attack
3,1,1,1,1,0,2,33.4,482.6,1,Attack
4,1,1,1,0,0,0,3.0,22.3,1,Attack
1,0,1,0,0,0,0,2.6,71.6,1,Suspicious
3,1,1,0,1,0,2,1.8,39.7,1,Suspicious
2,1,0,1,1,0,1,0.9,54.8,1,Attack
4,1,1,1,0,1,2,6.9,54.6,1,Suspicious
2,0,1,1,0,0,2,7.9,21.6,1,Normal
3,1,1,1,0,0,1,4.0,40.4,1,Suspicious
